+------------+----------+-----------+
| p_date     | newcomer | freshout  |
+============+==========+===========+
| 2011-01-01 | 12851338 |   -180686 |
| 2011-02-01 |   411374 |    -33909 |
| 2011-03-01 |    69260 |    -30632 |
| 2011-04-01 |    84213 |    -86065 |
| 2011-05-01 |    39812 |    -35433 |
| 2011-06-01 |    39284 |    -43500 |
| 2011-07-01 |    46914 |   -296316 |
| 2011-08-01 |   281197 |    -49251 |
| 2011-09-01 |   378141 |    -85682 |
| 2011-10-01 |   121557 |    -58118 |
| 2011-11-01 |   201611 |    -42610 |
| 2011-12-01 |   101224 |   -147444 |
| 2012-01-01 |   155200 |    -52640 |
| 2012-02-01 |   132801 |    -82604 |
| 2012-03-01 |   105215 |    -70749 |
| 2012-04-01 |   140657 |   -236306 |
| 2012-05-01 |   403515 |    -74127 |
| 2012-06-01 |    31974 |    -55657 |
| 2012-07-01 |   205516 |    -62740 |
| 2012-08-01 |   178807 |   -100634 |
| 2012-09-01 |    27725 |    -32313 |
| 2012-10-01 |    42469 |    -24138 |
| 2012-11-01 |    56832 |    -19963 |
| 2012-12-01 |    49427 |   -108366 |
| 2013-01-01 |    55394 |   -181507 |
| 2013-02-01 |    82535 |    -74483 |
| 2013-03-01 |   295279 |   -447160 |
| 2013-04-01 |   321963 |   -508645 |
| 2013-05-01 |   581381 |   -218876 |
| 2013-06-01 |    65550 |    -33802 |
| 2013-07-01 |   230325 |   -131061 |
| 2013-08-01 |   208002 |    -62676 |
| 2013-09-01 |   144545 |    -43467 |
| 2013-10-01 |    27320 |   -128901 |
| 2013-11-01 |   180003 |    -54185 |
| 2013-12-01 |   313704 |   -107240 |
| 2014-01-01 |    94636 |    -69395 |
| 2014-02-01 |   103898 |   -237584 |
| 2014-03-01 |   308210 |    -69264 |
| 2014-04-01 |   190305 |   -221483 |
| 2014-05-01 |   131943 |    -54111 |
| 2014-06-01 |   159750 |   -253090 |
| 2014-07-01 |   412960 |   -213019 |
| 2014-08-01 |    32636 |    -40560 |
| 2014-09-01 |    35821 |    -37262 |
| 2014-10-01 |    23611 |    -28133 |
| 2014-11-01 |    87765 |    -66369 |
| 2014-12-01 |    58875 |    -44644 |
| 2015-01-01 |    12101 |    -34849 |
| 2015-02-01 |    19209 |    -40648 |
| 2015-03-01 |    13261 |   -301422 |
| 2015-04-01 |   172415 |    -34801 |
| 2015-05-01 |    11228 |    -87250 |
| 2015-06-01 |    63779 |    -62099 |
| 2015-07-01 |   104259 |    -73046 |
| 2015-08-01 |    44668 |   -241376 |
| 2015-09-01 |   306095 |   -379886 |
| 2015-10-01 |   434603 |   -357808 |
| 2015-11-01 |   217310 |   -107476 |
| 2015-12-01 |   179410 |   -423336 |
| 2016-01-01 |   452810 |    -33894 |
| 2016-02-01 |    18806 |   -296808 |
| 2016-03-01 |   212978 |    -74086 |
| 2016-04-01 |    97840 |    -80672 |
| 2016-05-01 |    14114 |    -96568 |
| 2016-06-01 |    72846 |   -173965 |
| 2016-07-01 |   191647 |    -88768 |
| 2016-08-01 |    22196 |   -519458 |
| 2016-09-01 |   420265 |   -118850 |
| 2016-10-01 |    74758 |   -518264 |
| 2016-11-01 |    80952 |   -243855 |
| 2016-12-01 |   170390 |   -481901 |
| 2017-01-01 |   329912 |    -79466 |
| 2017-02-01 |    87920 | -13693912 |
+------------+----------+-----------+
74 tuples (49.4s)
