sql>select state, p_date, count(*) from payments group by state, p_date order by state, p_date;
+-------+------------+---------+
| state | p_date     | L4      |
+=======+============+=========+
| AC    | 2011-01-01 |   59341 |
| AC    | 2011-02-01 |   58587 |
| AC    | 2011-03-01 |   58539 |
| AC    | 2011-04-01 |   58845 |
| AC    | 2011-05-01 |   58707 |
| AC    | 2011-06-01 |   58644 |
| AC    | 2011-07-01 |   58656 |
| AC    | 2011-08-01 |   56418 |
| AC    | 2011-09-01 |   56757 |
| AC    | 2011-10-01 |   56353 |
| AC    | 2011-11-01 |   56367 |
| AC    | 2011-12-01 |   56272 |
| AC    | 2012-01-01 |   55391 |
| AC    | 2012-02-01 |   55242 |
| AC    | 2012-03-01 |   67565 |
| AC    | 2012-04-01 |   68784 |
| AC    | 2012-05-01 |   68843 |
| AC    | 2012-06-01 |   68530 |
| AC    | 2012-07-01 |   68713 |
| AC    | 2012-08-01 |   69800 |
| AC    | 2012-09-01 |   70049 |
| AC    | 2012-10-01 |   70107 |
| AC    | 2012-11-01 |   70463 |
| AC    | 2012-12-01 |   70769 |
| AC    | 2013-01-01 |   68941 |
| AC    | 2013-02-01 |   67584 |
| AC    | 2013-03-01 |   72453 |
| AC    | 2013-04-01 |   71696 |
| AC    | 2013-05-01 |   72076 |
| AC    | 2013-06-01 |   72500 |
| AC    | 2013-07-01 |   73786 |
| AC    | 2013-08-01 |   74042 |
| AC    | 2013-09-01 |   74882 |
| AC    | 2013-10-01 |   75189 |
| AC    | 2013-11-01 |   74802 |
| AC    | 2013-12-01 |   78966 |
| AC    | 2014-01-01 |   79305 |
| AC    | 2014-02-01 |   80087 |
| AC    | 2014-03-01 |   79144 |
| AC    | 2014-04-01 |   80140 |
| AC    | 2014-05-01 |   79139 |
| AC    | 2014-06-01 |   80173 |
| AC    | 2014-07-01 |   80878 |
| AC    | 2014-08-01 |   79296 |
| AC    | 2014-09-01 |   79478 |
| AC    | 2014-10-01 |   79027 |
| AC    | 2014-11-01 |   78963 |
| AC    | 2014-12-01 |   78724 |
| AC    | 2015-01-01 |   78700 |
| AC    | 2015-02-01 |   78850 |
| AC    | 2015-03-01 |   78765 |
| AC    | 2015-04-01 |   77755 |
| AC    | 2015-05-01 |   77750 |
| AC    | 2015-06-01 |   77520 |
| AC    | 2015-07-01 |   77514 |
| AC    | 2015-08-01 |   77434 |
| AC    | 2015-09-01 |   80290 |
| AC    | 2015-10-01 |   81618 |
| AC    | 2015-11-01 |   80519 |
| AC    | 2015-12-01 |   80987 |
| AC    | 2016-01-01 |   83751 |
| AC    | 2016-02-01 |   83616 |
| AC    | 2016-03-01 |   84350 |
| AC    | 2016-04-01 |   84858 |
| AC    | 2016-05-01 |   84345 |
| AC    | 2016-06-01 |   84124 |
| AC    | 2016-07-01 |   84765 |
| AC    | 2016-08-01 |   84419 |
| AC    | 2016-09-01 |   84129 |
| AC    | 2016-10-01 |   84161 |
| AC    | 2016-11-01 |   83348 |
| AC    | 2016-12-01 |   82949 |
| AC    | 2017-01-01 |   84635 |
| AC    | 2017-02-01 |   85407 |
| AL    | 2011-01-01 |  415767 |
| AL    | 2011-02-01 |  418753 |
| AL    | 2011-03-01 |  419086 |
| AL    | 2011-04-01 |  420441 |
| AL    | 2011-05-01 |  419775 |
| AL    | 2011-06-01 |  420175 |
| AL    | 2011-07-01 |  419044 |
| AL    | 2011-08-01 |  416439 |
| AL    | 2011-09-01 |  420374 |
| AL    | 2011-10-01 |  418661 |
| AL    | 2011-11-01 |  422813 |
| AL    | 2011-12-01 |  425137 |
| AL    | 2012-01-01 |  423207 |
| AL    | 2012-02-01 |  424361 |
| AL    | 2012-03-01 |  423535 |
| AL    | 2012-04-01 |  427991 |
| AL    | 2012-05-01 |  428484 |
| AL    | 2012-06-01 |  428090 |
| AL    | 2012-07-01 |  429572 |
| AL    | 2012-08-01 |  433131 |
| AL    | 2012-09-01 |  431803 |
| AL    | 2012-10-01 |  432684 |
| AL    | 2012-11-01 |  434795 |
| AL    | 2012-12-01 |  436270 |
| AL    | 2013-01-01 |  435407 |
| AL    | 2013-02-01 |  426613 |
| AL    | 2013-03-01 |  431548 |
| AL    | 2013-04-01 |  426329 |
| AL    | 2013-05-01 |  425281 |
| AL    | 2013-06-01 |  426576 |
| AL    | 2013-07-01 |  432805 |
| AL    | 2013-08-01 |  436855 |
| AL    | 2013-09-01 |  442557 |
| AL    | 2013-10-01 |  441655 |
| AL    | 2013-11-01 |  438192 |
| AL    | 2013-12-01 |  442614 |
| AL    | 2014-01-01 |  439883 |
| AL    | 2014-02-01 |  442074 |
| AL    | 2014-03-01 |  444053 |
| AL    | 2014-04-01 |  446500 |
| AL    | 2014-05-01 |  439966 |
| AL    | 2014-06-01 |  442484 |
| AL    | 2014-07-01 |  451948 |
| AL    | 2014-08-01 |  446881 |
| AL    | 2014-09-01 |  446659 |
| AL    | 2014-10-01 |  443825 |
| AL    | 2014-11-01 |  442999 |
| AL    | 2014-12-01 |  440833 |
| AL    | 2015-01-01 |  440392 |
| AL    | 2015-02-01 |  439903 |
| AL    | 2015-03-01 |  439054 |
| AL    | 2015-04-01 |  428734 |
| AL    | 2015-05-01 |  428925 |
| AL    | 2015-06-01 |  424930 |
| AL    | 2015-07-01 |  425020 |
| AL    | 2015-08-01 |  423827 |
| AL    | 2015-09-01 |  422969 |
| AL    | 2015-10-01 |  422357 |
| AL    | 2015-11-01 |  416235 |
| AL    | 2015-12-01 |  420515 |
| AL    | 2016-01-01 |  413715 |
| AL    | 2016-02-01 |  413518 |
| AL    | 2016-03-01 |  400051 |
| AL    | 2016-04-01 |  400544 |
| AL    | 2016-05-01 |  398888 |
| AL    | 2016-06-01 |  399594 |
| AL    | 2016-07-01 |  399896 |
| AL    | 2016-08-01 |  399992 |
| AL    | 2016-09-01 |  403870 |
| AL    | 2016-10-01 |  405266 |
| AL    | 2016-11-01 |  395747 |
| AL    | 2016-12-01 |  397142 |
| AL    | 2017-01-01 |  396010 |
| AL    | 2017-02-01 |  399078 |
| AM    | 2011-01-01 |  287423 |
| AM    | 2011-02-01 |  291617 |
| AM    | 2011-03-01 |  291039 |
| AM    | 2011-04-01 |  291496 |
| AM    | 2011-05-01 |  291250 |
| AM    | 2011-06-01 |  290397 |
| AM    | 2011-07-01 |  290399 |
| AM    | 2011-08-01 |  289342 |
| AM    | 2011-09-01 |  304417 |
| AM    | 2011-10-01 |  303864 |
| AM    | 2011-11-01 |  305828 |
| AM    | 2011-12-01 |  307285 |
| AM    | 2012-01-01 |  307255 |
| AM    | 2012-02-01 |  308689 |
| AM    | 2012-03-01 |  321675 |
| AM    | 2012-04-01 |  323047 |
| AM    | 2012-05-01 |  322170 |
| AM    | 2012-06-01 |  321733 |
| AM    | 2012-07-01 |  325653 |
| AM    | 2012-08-01 |  330894 |
| AM    | 2012-09-01 |  329257 |
| AM    | 2012-10-01 |  329755 |
| AM    | 2012-11-01 |  331103 |
| AM    | 2012-12-01 |  102862 |
| AM    | 2013-01-01 |  328648 |
| AM    | 2013-02-01 |  323467 |
| AM    | 2013-03-01 |  334374 |
| AM    | 2013-04-01 |  331448 |
| AM    | 2013-05-01 |  335235 |
| AM    | 2013-06-01 |  333654 |
| AM    | 2013-07-01 |  338517 |
| AM    | 2013-08-01 |  340615 |
| AM    | 2013-09-01 |  345348 |
| AM    | 2013-10-01 |  346412 |
| AM    | 2013-11-01 |  345446 |
| AM    | 2013-12-01 |  361083 |
| AM    | 2014-01-01 |  361392 |
| AM    | 2014-02-01 |  361114 |
| AM    | 2014-03-01 |  361584 |
| AM    | 2014-04-01 |  364173 |
| AM    | 2014-05-01 |  360676 |
| AM    | 2014-06-01 |  363728 |
| AM    | 2014-07-01 |  370080 |
| AM    | 2014-08-01 |  362479 |
| AM    | 2014-09-01 |  362556 |
| AM    | 2014-10-01 |  361755 |
| AM    | 2014-11-01 |  361405 |
| AM    | 2014-12-01 |  359360 |
| AM    | 2015-01-01 |  359286 |
| AM    | 2015-02-01 |  360959 |
| AM    | 2015-03-01 |  360739 |
| AM    | 2015-04-01 |  353072 |
| AM    | 2015-05-01 |  353299 |
| AM    | 2015-06-01 |  351886 |
| AM    | 2015-07-01 |  352200 |
| AM    | 2015-08-01 |  351685 |
| AM    | 2015-09-01 |  355247 |
| AM    | 2015-10-01 |  365261 |
| AM    | 2015-11-01 |  359889 |
| AM    | 2015-12-01 |  363223 |
| AM    | 2016-01-01 |  367857 |
| AM    | 2016-02-01 |  367671 |
| AM    | 2016-03-01 |  370768 |
| AM    | 2016-04-01 |  372628 |
| AM    | 2016-05-01 |  371723 |
