select state, p_date, sum(newcomer) as newcomer, sum(freshout) as freshout from payments group by state, p_date order by state, p_date;
+-------+------------+----------+----------+
| state | p_date     | newcomer | freshout |
+=======+============+==========+==========+
| AC    | 2011-01-01 |    59341 |     -482 |
| AC    | 2011-02-01 |      318 |      -54 |
| AC    | 2011-03-01 |      117 |      -40 |
| AC    | 2011-04-01 |      147 |     -106 |
| AC    | 2011-05-01 |       76 |      -80 |
| AC    | 2011-06-01 |      117 |      -94 |
| AC    | 2011-07-01 |      158 |    -1573 |
| AC    | 2011-08-01 |      151 |     -166 |
| AC    | 2011-09-01 |      177 |     -272 |
| AC    | 2011-10-01 |      164 |     -280 |
| AC    | 2011-11-01 |      202 |     -193 |
| AC    | 2011-12-01 |       87 |     -711 |
| AC    | 2012-01-01 |      200 |     -244 |
| AC    | 2012-02-01 |      141 |     -195 |
| AC    | 2012-03-01 |    12335 |     -137 |
| AC    | 2012-04-01 |     1237 |     -486 |
| AC    | 2012-05-01 |      726 |     -260 |
| AC    | 2012-06-01 |      161 |     -211 |
| AC    | 2012-07-01 |      207 |     -331 |
| AC    | 2012-08-01 |     1652 |     -261 |
| AC    | 2012-09-01 |      115 |     -162 |
| AC    | 2012-10-01 |      191 |      -75 |
| AC    | 2012-11-01 |      247 |      -74 |
| AC    | 2012-12-01 |      198 |    -1571 |
| AC    | 2013-01-01 |      269 |     -553 |
| AC    | 2013-02-01 |      114 |     -253 |
| AC    | 2013-03-01 |     4124 |    -2293 |
| AC    | 2013-04-01 |     1822 |    -2267 |
| AC    | 2013-05-01 |     2987 |     -877 |
| AC    | 2013-06-01 |      400 |     -161 |
| AC    | 2013-07-01 |     1738 |     -463 |
| AC    | 2013-08-01 |     1092 |     -267 |
| AC    | 2013-09-01 |      935 |     -225 |
| AC    | 2013-10-01 |      347 |     -652 |
| AC    | 2013-11-01 |      876 |     -317 |
| AC    | 2013-12-01 |     4350 |     -477 |
| AC    | 2014-01-01 |      912 |     -338 |
| AC    | 2014-02-01 |      720 |    -1202 |
| AC    | 2014-03-01 |     1429 |     -328 |
| AC    | 2014-04-01 |     1217 |     -968 |
| AC    | 2014-05-01 |      598 |     -242 |
| AC    | 2014-06-01 |      934 |     -794 |
| AC    | 2014-07-01 |      313 |     -923 |
| AC    | 2014-08-01 |      342 |     -165 |
| AC    | 2014-09-01 |      263 |     -167 |
| AC    | 2014-10-01 |      197 |     -135 |
| AC    | 2014-11-01 |      207 |     -199 |
| AC    | 2014-12-01 |      117 |     -205 |
| AC    | 2015-01-01 |       68 |     -114 |
| AC    | 2015-02-01 |      200 |     -159 |
| AC    | 2015-03-01 |       85 |     -896 |
| AC    | 2015-04-01 |      235 |     -109 |
| AC    | 2015-05-01 |       69 |     -361 |
| AC    | 2015-06-01 |      194 |     -191 |
| AC    | 2015-07-01 |      185 |     -280 |
| AC    | 2015-08-01 |      190 |    -1436 |
| AC    | 2015-09-01 |     4187 |    -1529 |
| AC    | 2015-10-01 |     2915 |    -1553 |
| AC    | 2015-11-01 |      854 |     -760 |
| AC    | 2015-12-01 |      926 |    -1277 |
| AC    | 2016-01-01 |     3828 |     -137 |
| AC    | 2016-02-01 |       62 |     -695 |
| AC    | 2016-03-01 |     1582 |     -309 |
| AC    | 2016-04-01 |      530 |     -525 |
| AC    | 2016-05-01 |      151 |     -441 |
| AC    | 2016-06-01 |      346 |     -841 |
| AC    | 2016-07-01 |      837 |     -449 |
| AC    | 2016-08-01 |      105 |    -2064 |
| AC    | 2016-09-01 |     1476 |     -614 |
| AC    | 2016-10-01 |      251 |    -1743 |
| AC    | 2016-11-01 |      502 |     -977 |
| AC    | 2016-12-01 |      519 |    -2494 |
| AC    | 2017-01-01 |     3355 |     -468 |
| AC    | 2017-02-01 |      592 |   -85407 |
| AL    | 2011-01-01 |   415767 |    -3471 |
| AL    | 2011-02-01 |     9347 |     -886 |
| AL    | 2011-03-01 |     2189 |     -805 |
| AL    | 2011-04-01 |     1865 |    -1034 |
| AL    | 2011-05-01 |      706 |     -909 |
| AL    | 2011-06-01 |     2030 |     -815 |
| AL    | 2011-07-01 |      799 |    -7393 |
| AL    | 2011-08-01 |     7874 |     -897 |
| AL    | 2011-09-01 |     3578 |    -1746 |
| AL    | 2011-10-01 |     1728 |    -1126 |
| AL    | 2011-11-01 |     5665 |     -844 |
| AL    | 2011-12-01 |     3109 |    -3877 |
| AL    | 2012-01-01 |     4266 |    -1359 |
| AL    | 2012-02-01 |     2857 |    -1725 |
| AL    | 2012-03-01 |     1493 |    -1441 |
| AL    | 2012-04-01 |     5815 |    -6872 |
