"","random.Var1","random.Freq","random.estrt.Var1","random.estrt.Freq"
"1","AC",9,"AC",2129
"2","AL",32,"AL",12325
"3","AM",32,"AM",9801
"4","AP",9,"AP",1551
"5","BA",181,"BA",50926
"6","CE",122,"CE",30359
"7","DF",6,"DF",2516
"8","ES",18,"ES",5623
"9","GO",27,"GO",9279
"10","MA",79,"MA",27111
"11","MG",110,"MG",32739
"12","MS",8,"MS",3842
"13","MT",22,"MT",5116
"14","PA",94,"PA",23966
"15","PB",48,"PB",14357
"16","PE",112,"PE",32485
"17","PI",51,"PI",12783
"18","PR",45,"PR",11980
"19","RJ",76,"RJ",22642
"20","RN",32,"RN",10056
"21","RO",11,"RO",3123
"22","RR",4,"RR",1370
"23","RS",42,"RS",12609
"24","SC",11,"SC",4022
"25","SE",24,"SE",7596
"26","SP",125,"SP",37780
"27","TO",17,"TO",3994
