"","random.Var1","random.Freq","random.estrt.Var1","random.estrt.Freq"
"1","AC",7,"AC",2135
"2","AL",41,"AL",12233
"3","AM",32,"AM",9741
"4","AP",5,"AP",1612
"5","BA",169,"BA",50762
"6","CE",92,"CE",30696
"7","DF",11,"DF",2524
"8","ES",17,"ES",5495
"9","GO",30,"GO",9483
"10","MA",101,"MA",27046
"11","MG",114,"MG",32524
"12","MS",9,"MS",3967
"13","MT",9,"MT",5082
"14","PA",101,"PA",23840
"15","PB",61,"PB",14414
"16","PE",121,"PE",32449
"17","PI",40,"PI",12781
"18","PR",33,"PR",11932
"19","RJ",92,"RJ",22726
"20","RN",30,"RN",10236
"21","RO",13,"RO",3221
"22","RR",1,"RR",1342
"23","RS",38,"RS",12696
"24","SC",18,"SC",3790
"25","SE",28,"SE",7775
"26","SP",126,"SP",37779
"27","TO",8,"TO",3799
